name	country	lat	lon	population	timezone
Cap-Haïtien	HT	19.75938	-72.19815	134815	America/Port-au-Prince
Baturaja	ID	-4.12891	104.16695	134759	Asia/Jakarta
Inazawa	JP	35.25	136.78333	134751	Asia/Tokyo
Rodriguez	PH	14.76011	121.19993	134432	Asia/Manila
Kalol	IN	23.24656	72.49508	134426	Asia/Kolkata
Mīāndoāb	IR	36.96667	46.10961	134425	Asia/Tehran
Laghouat	DZ	33.8	2.86514	134372	Africa/Algiers
Nevinnomyssk	RU	44.6333	41.9444	134345	Europe/Moscow
San Mateo	PH	14.6982	121.1236	134327	Asia/Manila
Ţahţā	EG	26.76866	31.50198	134314	Africa/Cairo
San Juan	PH	14.6	121.0333	134312	Asia/Manila
Sibiu	RO	45.8	24.15	134309	Europe/Bucharest
Olathe	US	38.8814	-94.81913	134305	America/Chicago
El Geneina Fort	SD	13.47481	22.45744	134264	Africa/Khartoum
Ikirun	NG	7.91283	4.66741	134240	Africa/Lagos
Shenglilu	CN	29.35048	105.8775	134218	Asia/Shanghai
San Nicolás de los Arroyos	AR	-33.33425	-60.2108	134217	America/Argentina/Buenos_Aires
Léogâne	HT	18.5111	-72.63343	134190	America/Port-au-Prince
Vila Jacui	BR	-23.50262	-46.46156	134189	America/Sao_Paulo
Adiwerna	ID	-6.9375	109.1325	134188	Asia/Jakarta
Cametá	BR	-2.24444	-49.49583	134184	America/Belem
Al Qurnah	IQ	31.01547	47.43362	134174	Asia/Baghdad
Abakaliki	NG	6.32485	8.11368	134102	Africa/Lagos
Vitória de Santo Antão	BR	-8.11806	-35.29139	134084	America/Recife
Marianao	CU	23.07385	-82.4189	134057	America/Havana
Warren	US	42.49044	-83.01304	134056	America/Detroit
Cizre	TR	37.33024	42.18484	134041	Europe/Istanbul
Circoiscrizione VIII	IT	45.03789	7.67174	134028	Europe/Rome
Bānkura	IN	23.23241	87.0716	133966	Asia/Kolkata
İnegol	TR	40.07806	29.51333	133959	Europe/Istanbul
Ebetsu	JP	43.10806	141.55056	133953	Asia/Tokyo
Anyama	CI	5.49462	-4.05183	133905	Africa/Abidjan
Jiawang	CN	34.43278	117.44194	133861	Asia/Shanghai
Singaraja	ID	-8.112	115.08818	133784	Asia/Makassar
Pātan	IN	23.8507	72.12963	133737	Asia/Kolkata
Würzburg	DE	49.79391	9.95121	133731	Europe/Berlin
Đồng Hới	VN	17.46885	106.62226	133672	Asia/Bangkok
Randfontein	ZA	-26.1844	27.70203	133654	Africa/Johannesburg
Pervouralsk	RU	56.90528	59.94361	133600	Asia/Yekaterinburg
Gondā City	IN	27.13181	81.95332	133583	Asia/Kolkata
Madīnat Ḩamad	BH	26.11528	50.50694	133550	Asia/Bahrain
Ōme	JP	35.78389	139.24306	133535	Asia/Tokyo
Sinnūris	EG	29.41345	30.86579	133532	Africa/Cairo
Milagro	EC	-2.13396	-79.59337	133508	America/Guayaquil
Jaú	BR	-22.29639	-48.55778	133497	America/Sao_Paulo
Thornton	US	39.86804	-104.97192	133451	America/Denver
Valdivia	CL	-39.81422	-73.24589	133419	America/Santiago
Olmaliq	UZ	40.84472	69.59833	133400	Asia/Tashkent
Okrika	NG	4.74215	7.08368	133271	Africa/Lagos
Santa Cruz do Sul	BR	-29.7175	-52.42583	133230	America/Sao_Paulo
High Wycombe	GB	51.62907	-0.74934	133204	Europe/London
Carrollton	US	32.95373	-96.89028	133168	America/Chicago
Talisay	PH	10.24472	123.84944	133148	Asia/Manila
Gao	ML	16.27167	-0.04472	133110	Africa/Bamako
Dhaulpur	IN	26.69286	77.87968	133075	Asia/Kolkata
Tarime	TZ	-1.35	34.36667	133043	Africa/Dar_es_Salaam
Kentron	AM	40.17806	44.51303	133000	Asia/Yerevan
Milton	CA	43.51681	-79.88294	132979	America/Toronto
M'Sila	DZ	35.70889	4.53722	132975	Africa/Algiers
Narita	JP	35.78333	140.31667	132906	Asia/Tokyo
Franceville	GA	-1.63333	13.58357	132895	Africa/Libreville
Puqi	CN	29.71667	113.88333	132891	Asia/Shanghai
Tondabayashichō	JP	34.50065	135.60211	132873	Asia/Tokyo
Sandachō	JP	34.88444	135.22694	132858	Asia/Tokyo
Gondiā	IN	21.46026	80.19205	132813	Asia/Kolkata
Dunedin	NZ	-45.87416	170.50361	132800	Pacific/Auckland
Kislovodsk	RU	43.91333	42.72083	132771	Europe/Moscow
Kyauktan	MM	16.63736	96.32512	132765	Asia/Yangon
Schaerbeek	BE	50.86935	4.37737	132761	Europe/Brussels
Hoofddorp	NL	52.3025	4.68889	132734	Europe/Amsterdam
Machiques	VE	10.06077	-72.55212	132734	America/Caracas
Palakkad	IN	10.77319	76.65366	132728	Asia/Kolkata
Silifke	TR	36.37778	33.93444	132665	Europe/Istanbul
Charleston	US	32.77632	-79.93275	132609	America/New_York
Langley	CA	49.10107	-122.65883	132603	America/Vancouver
Midland	US	31.99735	-102.07791	132524	America/Chicago
Fujinomiya	JP	35.21667	138.61667	132507	Asia/Tokyo
Mingala Tangnyunt	MM	16.78855	96.17234	132494	Asia/Yangon
Innsbruck	AT	47.26266	11.39454	132493	Europe/Vienna
Kingston	CA	44.22976	-76.48098	132485	America/Toronto
Wugang	CN	26.7279	110.63198	132457	Asia/Shanghai
Gloucester	GB	51.86568	-2.2431	132416	Europe/London
Waco	US	31.54933	-97.14667	132356	America/Chicago
Cerro	CU	23.10809	-82.3866	132351	America/Havana
Zama	JP	35.4879	139.39101	132325	Asia/Tokyo
Dimitrovgrad	RU	54.21386	49.61838	132226	Europe/Ulyanovsk
Zhalantun	CN	48.00945	122.73651	132224	Asia/Shanghai
Bettiah	IN	26.80229	84.50311	132209	Asia/Kolkata
Maijdi	BD	22.86667	91.1	132185	Asia/Dhaka
San Pedro Garza García	MX	25.6604	-100.40651	132128	America/Monterrey
Sapucaia do Sul	BR	-29.81782	-51.14551	132107	America/Sao_Paulo
Kombolcha	ET	11.08155	39.74339	132100	Africa/Addis_Ababa
Muricay	PH	7.8275	123.4782	132094	Asia/Manila
Sterling Heights	US	42.58031	-83.0302	132052	America/Detroit
Surat Thani	TH	9.14011	99.33311	132040	Asia/Bangkok
Fürth	DE	49.47593	10.98856	132036	Europe/Berlin
Ferrara	IT	44.83804	11.62057	132009	Europe/Rome
Quận Đức Thịnh	VN	10.30989	105.73855	132000	Asia/Ho_Chi_Minh
Ōmuta	JP	33.03333	130.45	131974	Asia/Tokyo
Villa Mercedes	CL	-37.40421	-71.97949	131936	America/Santiago
Fuji	CN	29.14819	105.37391	131927	Asia/Shanghai
Palwal	IN	28.14469	77.32546	131926	Asia/Kolkata
Bielany	PL	52.29242	20.93531	131910	Europe/Warsaw
Shahrud	IR	36.41819	54.97628	131889	Asia/Tehran
Dawukou	CN	39.04194	106.39583	131880	Asia/Shanghai
Bulaon	PH	15.08262	120.66288	131818	Asia/Manila
Garut	ID	-7.245	107.921	131809	Asia/Jakarta
Ajdabiya	LY	30.75545	20.22625	131773	Africa/Tripoli
Abiko	JP	35.86667	140.01667	131771	Asia/Tokyo
Kadoma	JP	34.7381	135.57442	131727	Asia/Tokyo
Majie	CN	25.0319	102.638	131696	Asia/Shanghai
Bhakkar	PK	31.62685	71.06471	131658	Asia/Karachi
Rio Pequeno	BR	-23.57139	-46.75887	131631	America/Sao_Paulo
Jijel	DZ	36.821	5.76352	131513	Africa/Algiers
Martapura	ID	-3.4109	114.8642	131449	Asia/Makassar
Villeurbanne	FR	45.76601	4.8795	131445	Europe/Paris
Hải Châu	VN	15.91667	108.13333	131427	Asia/Ho_Chi_Minh
Limbe	CM	4.02356	9.20607	131381	Africa/Douala
Rānīganj	IN	23.6164	87.13061	131261	Asia/Kolkata
Hepo	CN	23.43077	115.82991	131238	Asia/Shanghai
Iranshahr	IR	27.20245	60.68476	131232	Asia/Tehran
Soubré	CI	5.78377	-6.59388	131181	Africa/Abidjan
Onomichi	JP	34.41667	133.2	131170	Asia/Tokyo
Itapipoca	BR	-3.49444	-39.57861	131123	America/Fortaleza
Crato	BR	-7.23417	-39.40944	131050	America/Fortaleza
Denton	US	33.21484	-97.13307	131044	America/Chicago
Etah	IN	27.55879	78.65692	131023	Asia/Kolkata
Pīlibhīt	IN	28.63124	79.80436	131008	Asia/Kolkata
Shangzhi	CN	45.20562	128.00242	131006	Asia/Shanghai
Lashio	MM	22.9359	97.7498	131000	Asia/Yangon
Novomoskovsk	RU	54.01098	38.29084	130982	Europe/Moscow
Matsubara	JP	34.56667	135.55	130855	Asia/Tokyo
Abengourou	CI	6.72972	-3.49639	130810	Africa/Abidjan
Al Bāb	SY	36.37051	37.5157	130745	Asia/Damascus
Shuangcheng	CN	45.3798	126.30711	130710	Asia/Shanghai
Exeter	GB	50.7236	-3.52751	130709	Europe/London
Circoiscrizione III	IT	45.06279	7.63071	130709	Europe/Rome
Ho	GH	6.60084	0.4713	130701	Africa/Accra
Narowal	PK	32.10197	74.87303	130692	Asia/Karachi
Lào Cai	VN	22.48556	103.97066	130671	Asia/Bangkok
Al Ajaylat	LY	32.75718	12.37633	130546	Africa/Tripoli
Udon Thani	TH	17.41567	102.78589	130531	Asia/Bangkok
Baḥarkah	IQ	36.31556	44.03533	130518	Asia/Baghdad
Bayan Lepas	MY	5.29992	100.26052	130455	Asia/Kuala_Lumpur
Petrogradka	RU	59.96567	30.31154	130455	Europe/Moscow
Rajapalayam	IN	9.45296	77.55335	130442	Asia/Kolkata
Zipaquirá	CO	5.02208	-74.00481	130432	America/Bogota
Jīroft	IR	28.67806	57.74056	130429	Asia/Tehran
Cedar Rapids	US	42.00833	-91.64407	130405	America/Chicago
Dongyang	CN	29.26778	120.22528	130387	Asia/Shanghai
Nantou	CN	22.72171	113.29261	130370	Asia/Shanghai
Botad	IN	22.16917	71.66671	130327	Asia/Kolkata
Nablus	PS	32.22111	35.25444	130326	Asia/Hebron
New Haven	US	41.30815	-72.92816	130322	America/New_York
Arcahaie	HT	18.77019	-72.51226	130306	America/Port-au-Prince
Jiazi	CN	22.87932	116.07318	130298	Asia/Shanghai
Foumban	CM	5.72662	10.89865	130287	Africa/Douala
Roseville	US	38.75212	-121.28801	130269	America/Los_Angeles
Quilpué	CL	-33.04752	-71.44249	130263	America/Santiago
Kati	ML	12.74409	-8.07257	130254	Africa/Bamako
Seri Kembangan	MY	3.03333	101.71667	130252	Asia/Kuala_Lumpur
Kembangan	SG	1.32228	103.91135	130252	Asia/Singapore
Colchester	GB	51.88921	0.90421	130245	Europe/London
Umeå	SE	63.82842	20.25972	130224	Europe/Stockholm
Din Daeng	TH	13.7904	100.57014	130220	Asia/Bangkok
Apucarana	BR	-23.55083	-51.46083	130134	America/Sao_Paulo
Sennar	SD	13.56907	33.56718	130122	Africa/Khartoum
Masaya	NI	11.97316	-86.09587	130113	America/Managua
Visalia	US	36.33023	-119.29206	130104	America/Los_Angeles
Caála	AO	-12.8525	15.56056	130000	Africa/Luanda
Sonārgaon	BD	23.65	90.61667	130000	Asia/Dhaka
Tottenham	GB	51.60373	-0.06794	130000	Europe/London
Zugló	HU	47.51758	19.10549	130000	Europe/Budapest
Aley	LB	33.80528	35.6	130000	Asia/Beirut
San Martin	PE	-5.18591	-80.66927	130000	America/Lima
Tychy	PL	50.13717	18.96641	130000	Europe/Warsaw
Ramenki	RU	55.7	37.5	130000	Europe/Moscow
Wuda	CN	39.49944	106.71167	129922	Asia/Shanghai
Cambridge	CA	43.3601	-80.31269	129920	America/Toronto
Mardin	TR	37.31309	40.74357	129864	Europe/Istanbul
Pingxiang	CN	22.09694	106.75667	129843	Asia/Shanghai
Zwolle	NL	52.5125	6.09444	129840	Europe/Amsterdam
Baidoa	SO	3.11383	43.6498	129839	Africa/Mogadishu
Sầm Sơn	VN	19.73333	105.9	129801	Asia/Ho_Chi_Minh
Santo António	CN	22.20208	113.54394	129800	Asia/Macau
Salford	GB	53.48771	-2.29042	129794	Europe/London
Mandi Bahauddin	PK	32.58704	73.49123	129733	Asia/Karachi
Tokat	TR	40.31389	36.55444	129702	Europe/Istanbul
Erebuni	AM	40.13309	44.53009	129700	Asia/Yerevan
Sukrah	TN	36.87744	10.2468	129693	Africa/Tunis
Ô Môn	VN	10.10974	105.62318	129683	Asia/Ho_Chi_Minh
Gapan	PH	15.3072	120.9464	129610	Asia/Manila
Deoria	IN	26.50167	83.77936	129570	Asia/Kolkata
Bayambang	PH	15.8127	120.4557	129506	Asia/Manila
Mianwali	PK	32.57756	71.52847	129500	Asia/Karachi
Coral Springs	US	26.27119	-80.2706	129485	America/New_York
Sherbrooke	CA	45.40008	-71.89908	129447	America/Toronto
Al Bayḑā’	LY	32.76272	21.75506	129439	Africa/Tripoli
Jardim Helena	BR	-23.4837	-46.41309	129409	America/Sao_Paulo
Sabará	BR	-19.88639	-43.80667	129380	America/Sao_Paulo
Acilia-Castel Fusano-Ostia Antica	IT	41.76337	12.33078	129362	Europe/Rome
Charlottenburg	DE	52.51667	13.28333	129359	Europe/Berlin
Thousand Oaks	US	34.17056	-118.83759	129339	America/Los_Angeles
Columbia	US	38.95171	-92.33407	129330	America/Chicago
Győr	HU	47.68333	17.63512	129301	Europe/Budapest
Copiapó	CL	-27.36737	-70.33219	129280	America/Santiago
Vespasiano	BR	-19.69194	-43.92333	129246	America/Sao_Paulo
Kokubunji	JP	35.70222	139.47556	129242	Asia/Tokyo
Quibdó	CO	5.69188	-76.65835	129237	America/Bogota
Guelmim	MA	28.98696	-10.05738	129200	Africa/Casablanca
Charallave	VE	10.24247	-66.85723	129182	America/Caracas
Shahr-e Kord	IR	32.32612	50.8572	129153	Asia/Tehran
Malambo	CO	10.85953	-74.77386	129148	America/Bogota
Iwakuni	JP	34.16297	132.22	129125	Asia/Tokyo
Leiyang	CN	26.40238	112.85908	129116	Asia/Shanghai
Białołeka	PL	52.32127	20.97204	129106	Europe/Warsaw
Cadiz	PH	10.9465	123.288	129053	Asia/Manila
Carnot	CF	4.94273	15.87735	129032	Africa/Bangui
Bat Yam	IL	32.02379	34.75185	129012	Asia/Jerusalem
Zacatecas	MX	22.76843	-102.58141	129011	America/Mexico_City
Elizabeth	US	40.66399	-74.2107	129007	America/New_York
Zyablikovo	RU	55.61667	37.76667	129000	Europe/Moscow
Bingöl	TR	38.88472	40.49389	128935	Europe/Istanbul
Sātkhira	BD	22.70817	89.07185	128918	Asia/Dhaka
Palo Negro	VE	10.17389	-67.54194	128875	America/Caracas
Stamford	US	41.05343	-73.53873	128874	America/New_York
Idlib	SY	35.93062	36.63393	128840	Asia/Damascus
Moanda	CD	-5.92753	12.37148	128804	Africa/Kinshasa
Sīnah	IQ	36.80851	43.03935	128776	Asia/Baghdad
Ōsaki	JP	38.58866	140.973	128763	Asia/Tokyo
Concord	US	37.97798	-122.03107	128667	America/Los_Angeles
Leiria	PT	39.74362	-8.80705	128640	Europe/Lisbon
Puno	PE	-15.84003	-70.02198	128637	America/Lima
Kamyshin	RU	50.0885	45.41277	128626	Europe/Volgograd
Shuanglonghu	CN	29.71617	106.60684	128563	Asia/Shanghai
Nimach	IN	24.45949	74.86625	128561	Asia/Kolkata
Kafr ad Dawwār	EG	31.13379	30.12969	128539	Africa/Cairo
Águas Claras	BR	-15.83969	-48.02675	128486	America/Sao_Paulo
Bosque Saúde	BR	-23.60926	-46.62304	128469	America/Sao_Paulo
Novocheboksarsk	RU	56.11095	47.47755	128468	Europe/Moscow
Besançon	FR	47.24878	6.01815	128426	Europe/Paris
Lugazi	UG	0.36788	32.9376	128400	Africa/Kampala
Thành phố Sông Công	VN	21.4772	105.84137	128357	Asia/Ho_Chi_Minh
Rosario	PH	13.6323	121.2207	128352	Asia/Manila
Khardah	IN	22.71861	88.37806	128346	Asia/Kolkata
Sakakah	SA	29.96974	40.20641	128332	Asia/Riyadh
Khenifra	MA	32.93492	-5.66167	128318	Africa/Casablanca
Al Manāqil	SD	14.2459	32.9891	128297	Africa/Khartoum
Teluknaga	ID	-6.09889	106.63806	128275	Asia/Jakarta
Rustavi	GE	41.56271	44.9787	128249	Asia/Tbilisi
Jose Bonifacio	BR	-23.56742	-46.43264	128243	America/Sao_Paulo
Manzanillo	CU	20.34173	-77.12126	128188	America/Havana
Yavatmāl	IN	20.39324	78.13201	128175	Asia/Kolkata
Hālīsahar	IN	22.93218	88.41859	128172	Asia/Kolkata
Serpukhov	RU	54.9198	37.41618	128158	Europe/Moscow
Rionegro	CO	6.15515	-75.37371	128153	America/Bogota
Shache	CN	38.41667	77.24056	128145	Asia/Urumqi
Siheungdong	KR	37.45177	126.91079	128142	Asia/Seoul
Khanna	IN	30.70547	76.22196	128137	Asia/Kolkata
Koidu	SL	8.64387	-10.9714	128030	Africa/Freetown
Norman	US	35.22257	-97.43948	128026	America/Chicago
Mosquera	CO	4.70592	-74.23021	128012	America/Bogota
Orekhovo-Borisovo Severnoye	RU	55.61667	37.68333	128000	Europe/Moscow
Ivanovskoye	RU	55.76667	37.83333	128000	Europe/Moscow
Votorantim	BR	-23.54667	-47.43778	127923	America/Sao_Paulo
Buôn Hồ	VN	12.95226	108.2962	127920	Asia/Ho_Chi_Minh
Chũ	VN	21.37379	106.56649	127881	Asia/Bangkok
Västerås	SE	59.61617	16.55276	127799	Europe/Stockholm
Seto	JP	35.23333	137.1	127792	Asia/Tokyo
Alhambra	US	33.49838	-112.13432	127764	America/Phoenix
Titāgarh	IN	22.74252	88.37326	127751	Asia/Kolkata
Newcastle under Lyme	GB	53.0	-2.23333	127727	Europe/London
Opole	PL	50.67119	17.92604	127676	Europe/Warsaw
Worcester	ZA	-33.64651	19.44852	127597	Africa/Johannesburg
Elbląg	PL	54.1522	19.40884	127558	Europe/Warsaw
Sirajganj	BD	24.45771	89.70802	127481	Asia/Dhaka
Jequié	BR	-13.85875	-40.08512	127475	America/Bahia
Płock	PL	52.54682	19.70638	127474	Europe/Warsaw
Wałbrzych	PL	50.77141	16.28432	127431	Europe/Warsaw
Yevlakh	AZ	40.61832	47.15014	127400	Asia/Baku
Mykilska Borshchahivka	UA	50.42638	30.37442	127400	Europe/Kyiv
Al Manzalah	EG	31.15823	31.936	127394	Africa/Cairo
Wau	SS	7.70111	27.98972	127384	Africa/Juba
Södermalm	SE	59.31278	18.07577	127323	Europe/Stockholm
Athens	US	33.96095	-83.37794	127315	America/New_York
Amaigbo	NG	5.78917	7.83829	127300	Africa/Lagos
Vila Mariana	BR	-23.58833	-46.63464	127286	America/Sao_Paulo
Chiang Mai	TH	18.79038	98.98468	127240	Asia/Bangkok
Lafia	NG	8.4939	8.51532	127236	Africa/Lagos
Jiangyou	CN	31.76667	104.71667	127225	Asia/Shanghai
Mustafābād	IN	28.71974	77.26781	127167	Asia/Kolkata
Tengyue	CN	24.99492	98.51276	127133	Asia/Shanghai
Shajing	CN	22.74628	113.81903	127089	Asia/Shanghai
Jinfeng	CN	28.2385	116.60054	127076	Asia/Shanghai
Sancti Spíritus	CU	21.93429	-79.4398	127069	America/Havana
Mataró	ES	41.54211	2.4445	126988	Europe/Madrid
Kent	US	47.38093	-122.23484	126952	America/Los_Angeles
Pakokku	MM	21.33489	95.08438	126938	Asia/Yangon
Murom	RU	55.56853	42.02388	126931	Europe/Moscow
Daska Kalan	PK	32.32422	74.35039	126924	Asia/Karachi
Sertãozinho	BR	-21.13778	-47.99028	126887	America/Sao_Paulo
Hāthras	IN	27.59551	78.05201	126882	Asia/Kolkata
Pulong Santa Cruz	PH	14.27324	121.07643	126844	Asia/Manila
Klaten	ID	-7.70583	110.60639	126831	Asia/Jakarta
Khasavyurt	RU	43.24872	46.58571	126829	Europe/Moscow
Neftekamsk	RU	56.08879	54.26383	126805	Asia/Yekaterinburg
Villaverde	ES	40.35	-3.7	126802	Europe/Madrid
Simi Valley	US	34.26945	-118.78148	126788	America/Los_Angeles
Bayawan	PH	9.3649	122.804	126744	Asia/Manila
Jorhat	IN	26.75751	94.20306	126736	Asia/Kolkata
Santa Cruz	PH	14.6	120.98333	126735	Asia/Manila
La Victoria	VE	10.22677	-67.33122	126721	America/Caracas
Pakpattan	PK	30.34314	73.38944	126706	Asia/Karachi
Jingzhi	CN	36.31	119.3875	126703	Asia/Shanghai
Danshui	CN	22.7984	114.46716	126701	Asia/Shanghai
